"","keys","case_number","accumulated_causal_effect","phi"
"57","1 0 0 1 0 0 1 1",23,9,0.391304347826087
"58","1 1 0 1 0 1 0 1",18,9,0.5
"60","1 1 0 1 1 1 1 0",24,7,0.291666666666667
"61","1 0 0 1 0 1 1 1",18,5,0.277777777777778
"62","0 0 0 1 0 0 0 1",16,3,0.1875
"63","1 1 1 0 1 1 1 1",20,0,0
"64","0 0 0 0 1 0 1 1",18,-1,-0.0555555555555556
"65","1 1 1 0 0 0 0 1",19,12,0.631578947368421
"66","0 0 1 0 1 1 1 0",16,5,0.3125
"67","1 1 0 0 1 1 0 1",18,6,0.333333333333333
"68","1 1 0 1 1 0 0 0",23,14,0.608695652173913
"69","0 1 1 1 1 0 0 0",16,11,0.6875
"70","0 0 1 1 1 1 1 1",27,1,0.037037037037037
"72","0 1 0 1 1 1 0 1",15,4,0.266666666666667
"73","0 1 1 0 0 1 0 0",25,12,0.48
"74","1 0 0 0 1 0 1 1",15,1,0.0666666666666667
"75","0 1 0 0 0 0 0 1",14,2,0.142857142857143
"76","1 0 0 1 1 0 0 0",19,7,0.368421052631579
"77","1 0 1 1 1 1 0 0",20,12,0.6
"78","0 0 0 0 0 1 1 1",18,0,0
"79","1 1 0 0 1 1 1 1",11,0,0
"81","1 1 1 0 1 1 1 0",14,5,0.357142857142857
"82","0 1 1 0 0 1 1 1",12,5,0.416666666666667
"83","0 1 1 0 0 0 1 0",24,9,0.375
"88","1 0 1 0 0 0 1 1",21,9,0.428571428571429
"91","0 0 0 1 1 0 1 1",23,3,0.130434782608696
"92","1 0 0 0 0 1 0 1",25,5,0.2
"93","0 1 1 0 1 1 1 1",20,3,0.15
"95","0 0 1 0 1 0 1 1",26,7,0.269230769230769
"96","0 1 0 0 1 1 1 0",18,7,0.388888888888889
"97","0 0 1 0 1 0 0 0",26,2,0.0769230769230769
"99","0 0 0 1 1 0 0 1",20,2,0.1
"100","0 0 1 0 0 1 0 1",20,4,0.2
"101","0 1 1 1 0 1 1 0",15,10,0.666666666666667
"103","1 0 1 1 1 0 0 1",16,10,0.625
"104","1 1 0 0 1 0 0 0",17,4,0.235294117647059
"105","0 1 1 0 1 0 0 1",21,11,0.523809523809524
"106","1 1 1 0 1 0 1 1",21,3,0.142857142857143
"107","0 0 1 0 0 0 0 1",16,1,0.0625
"108","0 1 1 0 1 0 1 1",16,2,0.125
"109","0 1 0 0 0 0 1 1",22,1,0.0454545454545455
"113","0 0 0 0 0 0 1 1",20,-1,-0.05
"115","1 0 0 0 1 0 0 1",17,4,0.235294117647059
"117","1 1 0 0 0 1 0 0",15,2,0.133333333333333
"118","1 1 0 1 1 0 0 1",18,9,0.5
"121","1 0 0 0 1 1 0 1",22,5,0.227272727272727
"124","1 0 0 0 0 0 0 0",29,0,0
"127","0 1 1 0 0 0 1 1",14,5,0.357142857142857
"129","1 1 0 1 1 0 1 0",22,14,0.636363636363636
"130","0 0 0 1 1 1 1 1",25,1,0.04
"133","0 0 0 0 0 1 0 1",20,0,0
"136","0 0 1 0 1 0 0 1",17,3,0.176470588235294
"137","1 0 1 0 0 1 1 0",27,14,0.518518518518518
"138","1 0 1 0 1 0 1 0",20,5,0.25
"139","0 1 0 1 1 1 0 0",21,11,0.523809523809524
"140","1 0 0 0 1 1 1 0",21,1,0.0476190476190476
"141","1 0 1 0 0 1 1 1",26,8,0.307692307692308
"142","1 0 0 0 1 1 0 0",19,4,0.210526315789474
"143","0 1 1 1 0 0 0 1",20,6,0.3
"144","1 1 1 1 1 1 1 0",26,5,0.192307692307692
"145","1 1 0 0 1 1 1 0",18,5,0.277777777777778
"146","0 0 0 0 1 0 0 1",13,0,0
"152","0 0 1 0 1 1 0 0",20,4,0.2
"153","1 0 0 1 1 1 1 1",27,0,0
"155","0 0 0 1 0 1 1 1",24,4,0.166666666666667
"158","0 1 0 1 0 0 1 1",21,8,0.380952380952381
"160","1 0 0 0 1 0 1 0",14,5,0.357142857142857
"161","1 1 1 1 1 0 1 1",21,5,0.238095238095238
"163","0 0 0 0 1 1 0 1",20,0,0
"164","0 1 1 1 0 0 1 0",19,12,0.631578947368421
"166","1 1 1 1 1 0 0 1",18,12,0.666666666666667
"169","1 1 0 1 0 1 1 1",33,4,0.121212121212121
"172","1 0 1 0 0 0 1 0",24,9,0.375
"173","0 0 0 1 1 1 0 1",17,4,0.235294117647059
"174","0 1 1 1 1 0 1 1",11,5,0.454545454545455
"175","0 0 1 1 0 0 1 0",18,9,0.5
"178","1 0 1 0 1 1 0 1",26,10,0.384615384615385
"179","0 0 1 1 0 1 1 1",20,4,0.2
"182","0 0 1 0 1 1 0 1",18,4,0.222222222222222
"184","1 0 1 1 0 1 1 1",19,6,0.315789473684211
"185","1 0 1 0 1 0 0 1",18,8,0.444444444444444
"186","0 1 0 1 0 0 1 0",25,8,0.32
"187","0 1 0 0 0 1 0 0",21,2,0.0952380952380952
"190","1 0 1 0 0 0 0 1",20,4,0.2
"191","0 0 1 0 0 0 1 0",23,1,0.0434782608695652
"194","1 1 1 1 0 0 1 1",23,17,0.739130434782609
"197","0 1 0 0 1 1 0 0",19,3,0.157894736842105
"199","1 0 0 1 0 1 0 0",19,7,0.368421052631579
"201","0 1 1 1 1 1 1 0",16,4,0.25
"202","0 1 1 0 0 0 0 0",18,3,0.166666666666667
"204","1 0 0 1 0 1 0 1",22,7,0.318181818181818
"205","0 1 1 1 0 0 1 1",19,14,0.736842105263158
"206","0 0 1 1 0 0 0 0",21,3,0.142857142857143
"207","1 1 1 1 0 1 1 0",20,12,0.6
"210","0 1 1 0 0 0 0 1",18,5,0.277777777777778
"212","0 0 0 1 1 0 0 0",20,3,0.15
"213","1 0 0 1 1 0 1 0",25,14,0.56
"216","0 1 1 0 1 0 1 0",22,12,0.545454545454545
"217","1 1 0 0 1 1 0 0",19,6,0.315789473684211
"218","0 0 0 1 1 1 0 0",23,5,0.217391304347826
"219","1 1 0 1 0 0 0 0",19,8,0.421052631578947
"220","0 0 0 0 0 1 1 0",14,0,0
"222","1 1 1 1 1 1 0 1",22,6,0.272727272727273
"223","0 0 0 1 0 0 1 0",16,2,0.125
"228","1 0 1 0 1 0 0 0",16,5,0.3125
"232","0 0 1 1 1 1 0 0",19,7,0.368421052631579
"235","0 0 0 0 1 0 1 0",22,0,0
"239","1 0 0 1 0 0 0 0",14,2,0.142857142857143
"242","1 0 1 1 1 0 1 1",22,5,0.227272727272727
"244","1 0 0 0 0 0 1 1",22,3,0.136363636363636
"245","0 1 1 1 1 1 0 0",26,15,0.576923076923077
"248","1 1 1 0 0 1 0 1",23,13,0.565217391304348
"250","1 1 0 0 0 0 0 0",23,4,0.173913043478261
"251","0 1 1 0 0 1 1 0",16,7,0.4375
"252","0 0 0 0 0 1 0 0",21,0,0
"259","1 1 1 1 1 1 1 1",24,2,0.0833333333333333
"260","0 1 1 0 0 1 0 1",26,9,0.346153846153846
"262","0 0 1 0 0 0 1 1",19,9,0.473684210526316
"263","0 0 0 1 1 0 1 0",15,6,0.4
"272","1 0 1 1 1 1 1 0",19,5,0.263157894736842
"273","1 1 1 0 1 1 0 0",17,10,0.588235294117647
"276","1 0 1 1 0 1 0 1",14,9,0.642857142857143
"279","0 1 0 1 0 0 0 0",25,2,0.08
"282","1 0 0 0 1 0 0 0",23,4,0.173913043478261
"283","0 1 1 1 0 1 1 1",17,2,0.117647058823529
"288","1 0 1 1 1 0 1 0",23,17,0.739130434782609
"291","0 1 0 0 0 1 1 0",25,5,0.2
"300","1 0 0 0 0 0 0 1",17,0,0
"302","0 0 1 1 0 1 0 1",21,11,0.523809523809524
"303","0 0 1 0 1 1 1 1",18,1,0.0555555555555556
"307","0 1 0 0 0 0 0 0",24,2,0.0833333333333333
"308","1 0 0 0 0 0 1 0",15,1,0.0666666666666667
"309","0 0 0 0 0 0 1 0",14,0,0
"311","1 1 1 1 0 1 0 1",16,6,0.375
"315","0 0 1 1 1 0 0 1",14,8,0.571428571428571
"317","1 1 1 0 1 0 0 0",14,9,0.642857142857143
"328","1 0 1 1 0 1 0 0",17,9,0.529411764705882
"330","0 1 0 0 1 0 1 0",19,3,0.157894736842105
"334","1 1 0 0 0 0 1 0",19,5,0.263157894736842
"341","0 0 0 0 1 1 0 0",24,0,0
"342","1 1 1 0 0 1 1 1",16,3,0.1875
"344","1 1 0 0 0 1 1 1",21,8,0.380952380952381
"345","0 1 0 1 0 1 1 0",25,9,0.36
"348","0 0 0 1 0 0 1 1",23,3,0.130434782608696
"351","0 1 0 1 1 0 0 0",19,8,0.421052631578947
"356","1 0 0 1 1 1 1 0",26,3,0.115384615384615
"359","1 1 1 1 0 1 1 1",24,6,0.25
"361","1 1 0 1 1 1 1 1",20,1,0.05
"362","1 0 1 0 0 1 0 1",26,9,0.346153846153846
"367","1 0 1 0 0 1 0 0",21,6,0.285714285714286
"368","0 1 0 1 1 0 0 1",11,5,0.454545454545455
"369","1 1 0 0 0 1 1 0",15,6,0.4
"370","1 1 1 0 0 0 1 0",16,8,0.5
"371","1 1 1 1 1 0 0 0",19,16,0.842105263157895
"372","0 0 1 0 1 0 1 0",21,3,0.142857142857143
"378","1 0 0 1 1 1 0 1",21,8,0.380952380952381
"384","1 0 0 1 1 0 0 1",19,10,0.526315789473684
"401","0 0 1 1 1 1 0 1",18,8,0.444444444444444
"408","1 1 0 1 0 1 1 0",12,7,0.583333333333333
"411","1 1 1 0 1 0 0 1",26,11,0.423076923076923
"415","1 0 1 1 0 0 1 0",17,13,0.764705882352941
"428","1 0 1 1 0 1 1 0",19,8,0.421052631578947
"432","1 1 0 0 0 0 0 1",19,3,0.157894736842105
"440","1 1 1 0 0 0 1 1",15,9,0.6
"449","0 1 1 1 0 1 0 0",20,13,0.65
"462","1 1 0 0 1 0 1 0",17,8,0.470588235294118
"463","0 1 0 1 1 1 1 0",17,4,0.235294117647059
"477","0 1 0 0 1 0 0 1",14,1,0.0714285714285714
"483","1 0 0 1 1 0 1 1",24,8,0.333333333333333
"485","0 0 0 0 0 0 0 0",25,0,0
"500","1 0 0 1 0 0 1 0",26,10,0.384615384615385
"501","0 0 0 0 0 0 0 1",21,0,0
"506","0 1 0 1 0 1 0 1",19,9,0.473684210526316
"509","1 1 1 0 0 1 1 0",18,11,0.611111111111111
"532","0 0 0 1 0 1 1 0",19,3,0.157894736842105
"540","0 0 0 0 1 1 1 1",13,0,0
"543","1 0 1 0 1 1 1 0",19,3,0.157894736842105
"546","1 0 1 1 0 0 1 1",17,9,0.529411764705882
"552","0 1 1 1 1 1 0 1",21,5,0.238095238095238
"566","1 1 0 1 0 0 1 1",16,9,0.5625
"568","1 0 1 1 1 0 0 0",15,11,0.733333333333333
"603","0 1 0 0 1 1 0 1",15,2,0.133333333333333
"620","1 0 0 0 0 1 0 0",18,2,0.111111111111111
"624","0 0 0 0 1 0 0 0",19,0,0
"628","0 1 0 0 0 0 1 0",22,2,0.0909090909090909
"630","1 1 0 1 0 0 0 1",21,12,0.571428571428571
"642","0 1 1 0 1 0 0 0",20,6,0.3
"651","1 1 1 1 0 1 0 0",21,14,0.666666666666667
"657","0 0 1 1 1 1 1 0",14,3,0.214285714285714
"722","0 1 0 0 1 1 1 1",19,1,0.0526315789473684
"725","0 1 0 1 0 0 0 1",24,7,0.291666666666667
"730","1 1 1 1 1 0 1 0",23,14,0.608695652173913
"733","0 1 1 1 0 1 0 1",18,10,0.555555555555556
"747","0 1 0 1 0 1 0 0",12,5,0.416666666666667
"749","0 0 1 0 0 1 0 0",20,4,0.2
"762","1 1 0 0 0 0 1 1",15,6,0.4
"765","0 0 0 1 0 0 0 0",18,0,0
"770","0 0 1 0 0 1 1 1",17,4,0.235294117647059
"862","0 1 1 1 1 1 1 1",17,1,0.0588235294117647
"925","1 0 0 0 0 1 1 1",14,2,0.142857142857143
"999","1 0 1 1 0 0 0 0",17,6,0.352941176470588
"1035","0 0 1 0 0 1 1 0",19,5,0.263157894736842
"1056","0 0 1 1 1 0 1 1",10,2,0.2
"1063","0 1 0 1 0 1 1 1",11,3,0.272727272727273
"1167","0 1 0 0 0 1 1 1",24,6,0.25
"1184","0 0 1 1 0 1 0 0",19,6,0.315789473684211
"1203","0 0 1 0 0 0 0 0",15,1,0.0666666666666667
"1224","1 1 0 0 1 0 0 1",16,6,0.375
"1548","0 0 0 1 1 1 1 0",22,3,0.136363636363636
