"","keys","case_number","accumulated_causal_effect","phi"
"47","1 0 0 1 0 1 1 1",44,8,0.181818181818182
"48","1 0 0 1 0 0 0 0",37,6,0.162162162162162
"50","1 1 0 1 1 1 0 0",45,26,0.577777777777778
"51","1 1 1 0 1 0 0 0",42,25,0.595238095238095
"52","0 0 0 0 0 0 0 1",41,0,0
"54","1 1 1 1 0 1 1 1",42,6,0.142857142857143
"55","1 0 0 1 1 0 0 0",45,18,0.4
"56","1 1 1 0 1 0 1 0",40,27,0.675
"57","0 0 0 1 1 0 0 0",40,6,0.15
"58","1 1 0 1 1 0 1 1",38,7,0.184210526315789
"59","0 1 1 1 1 1 1 1",33,2,0.0606060606060606
"60","0 0 1 0 1 1 1 0",41,9,0.219512195121951
"61","0 0 0 0 1 1 1 0",44,0,0
"62","1 0 0 1 1 1 1 1",52,4,0.0769230769230769
"64","0 1 0 0 1 1 0 1",41,10,0.24390243902439
"66","0 1 1 1 0 1 0 1",49,32,0.653061224489796
"68","0 0 0 1 1 0 1 0",39,10,0.256410256410256
"69","1 1 1 1 1 1 1 0",37,9,0.243243243243243
"70","1 1 0 0 0 0 1 1",30,10,0.333333333333333
"72","1 1 1 0 1 1 1 0",28,5,0.178571428571429
"73","0 0 1 1 1 1 1 0",35,10,0.285714285714286
"74","0 0 1 0 0 1 0 0",50,7,0.14
"75","0 0 1 0 0 1 1 1",38,9,0.236842105263158
"76","0 1 1 0 1 1 0 1",35,8,0.228571428571429
"77","1 1 1 0 0 0 1 0",43,24,0.558139534883721
"78","0 0 0 1 0 0 1 1",39,7,0.179487179487179
"80","0 0 0 0 0 1 0 0",31,0,0
"81","1 0 0 0 1 0 1 0",47,15,0.319148936170213
"83","0 1 0 0 0 1 1 1",41,11,0.268292682926829
"85","1 0 1 0 0 0 1 1",44,25,0.568181818181818
"86","0 1 0 1 0 1 0 1",51,26,0.509803921568627
"87","0 1 0 0 0 1 0 0",50,3,0.06
"89","0 1 1 0 1 1 1 0",38,9,0.236842105263158
"90","0 0 0 0 1 1 0 1",42,0,0
"92","0 0 0 0 0 0 1 1",49,0,0
"93","0 1 1 1 1 0 1 0",41,20,0.48780487804878
"94","1 0 1 1 0 1 1 1",39,8,0.205128205128205
"96","1 0 0 0 0 0 1 0",50,7,0.14
"97","1 0 0 0 1 1 0 0",51,10,0.196078431372549
"98","0 1 0 1 0 1 1 1",32,4,0.125
"101","1 0 0 0 0 0 0 1",44,4,0.0909090909090909
"105","0 0 1 1 1 1 0 0",48,27,0.5625
"106","1 1 1 0 1 0 1 1",35,11,0.314285714285714
"108","0 0 0 1 0 0 0 0",34,0,0
"111","1 0 0 1 1 1 0 0",41,21,0.51219512195122
"112","1 0 0 1 1 0 1 1",35,12,0.342857142857143
"114","1 0 1 0 0 0 1 0",36,10,0.277777777777778
"115","1 1 1 1 0 0 0 1",46,27,0.58695652173913
"116","1 0 1 1 1 1 1 1",42,1,0.0238095238095238
"117","1 1 0 0 1 0 0 0",40,10,0.25
"118","1 0 1 0 0 1 1 0",47,23,0.48936170212766
"119","0 1 1 0 0 0 0 0",35,6,0.171428571428571
"123","0 1 1 0 1 1 0 0",35,14,0.4
"125","1 0 1 1 1 0 1 0",40,17,0.425
"129","1 1 0 0 1 1 0 0",41,19,0.463414634146341
"130","0 1 1 0 0 0 1 1",37,17,0.459459459459459
"131","0 1 0 0 0 0 0 1",31,2,0.0645161290322581
"132","1 1 0 1 1 0 0 0",43,22,0.511627906976744
"134","0 0 1 1 0 0 1 1",36,19,0.527777777777778
"135","1 0 0 0 0 1 1 0",43,14,0.325581395348837
"136","1 1 0 0 1 0 1 1",43,9,0.209302325581395
"138","1 0 0 0 1 0 1 1",35,5,0.142857142857143
"139","0 0 0 0 1 1 1 1",42,0,0
"140","0 1 1 0 0 1 0 1",37,9,0.243243243243243
"142","0 0 1 1 0 0 0 0",38,3,0.0789473684210526
"144","0 0 1 0 0 0 1 1",41,9,0.219512195121951
"145","0 0 1 0 1 1 0 1",50,11,0.22
"146","0 1 0 1 0 0 0 0",35,5,0.142857142857143
"147","1 0 1 1 1 1 0 0",37,17,0.459459459459459
"148","1 0 0 1 1 1 0 1",37,7,0.189189189189189
"150","1 1 1 0 0 1 0 0",42,29,0.69047619047619
"153","0 0 0 1 1 1 1 0",30,6,0.2
"155","1 1 1 1 1 1 1 1",31,1,0.032258064516129
"156","1 1 0 0 1 1 0 1",40,8,0.2
"157","0 1 1 1 0 0 1 1",32,17,0.53125
"158","0 1 1 0 0 1 1 0",52,22,0.423076923076923
"160","0 1 0 0 1 1 1 0",40,7,0.175
"161","0 1 1 1 1 0 0 1",46,22,0.478260869565217
"164","1 0 0 1 0 1 0 1",44,20,0.454545454545455
"165","1 1 1 1 0 1 0 0",35,25,0.714285714285714
"170","0 1 1 1 1 1 1 0",45,11,0.244444444444444
"174","1 1 0 0 1 1 1 1",41,3,0.0731707317073171
"176","1 0 1 1 1 0 1 1",34,7,0.205882352941176
"178","0 1 0 0 0 0 1 0",30,2,0.0666666666666667
"179","1 0 1 1 0 1 0 1",45,30,0.666666666666667
"188","1 1 1 1 1 1 0 1",32,4,0.125
"189","1 0 1 1 0 0 1 1",36,18,0.5
"193","1 0 1 1 0 0 0 0",33,11,0.333333333333333
"197","1 1 0 1 1 0 0 1",33,14,0.424242424242424
"199","0 0 1 1 0 1 0 0",41,10,0.24390243902439
"200","0 1 0 0 1 1 1 1",39,1,0.0256410256410256
"201","1 1 0 0 0 0 0 1",37,4,0.108108108108108
"202","0 1 0 1 0 0 0 1",37,18,0.486486486486487
"208","0 0 1 0 0 1 1 0",37,7,0.189189189189189
"209","1 0 0 0 0 1 0 1",30,8,0.266666666666667
"210","0 1 0 1 1 1 1 1",43,3,0.0697674418604651
"211","1 0 1 1 1 0 0 1",34,20,0.588235294117647
"214","0 0 1 1 0 0 0 1",36,11,0.305555555555556
"220","1 0 1 0 0 0 0 0",37,2,0.0540540540540541
"222","0 0 0 1 0 1 1 0",43,5,0.116279069767442
"223","1 1 1 1 1 0 1 1",50,10,0.2
"226","1 0 1 1 0 0 1 0",40,21,0.525
"232","0 0 0 0 1 1 0 0",36,0,0
"233","0 1 1 0 0 0 1 0",46,15,0.326086956521739
"234","1 0 0 0 0 1 0 0",37,4,0.108108108108108
"238","0 1 1 1 0 1 1 0",54,34,0.62962962962963
"242","0 0 0 1 0 0 0 1",34,5,0.147058823529412
"244","0 1 1 1 1 1 0 0",45,27,0.6
"246","1 0 1 0 1 1 0 0",38,22,0.578947368421053
"247","1 1 1 1 1 0 0 0",33,24,0.727272727272727
"248","1 0 0 1 1 1 1 0",44,12,0.272727272727273
"250","0 0 0 1 0 1 1 1",44,9,0.204545454545455
"253","1 1 0 1 0 1 0 1",42,20,0.476190476190476
"254","0 1 0 1 1 1 1 0",35,14,0.4
"258","1 0 1 0 0 1 1 1",49,14,0.285714285714286
"259","1 1 0 0 0 1 0 1",41,18,0.439024390243902
"261","0 1 0 0 0 0 0 0",55,2,0.0363636363636364
"265","1 0 0 0 1 1 0 1",43,9,0.209302325581395
"266","0 0 0 0 1 0 0 0",47,0,0
"270","0 0 0 1 0 0 1 0",38,6,0.157894736842105
"273","1 1 1 0 0 1 1 0",39,22,0.564102564102564
"276","1 0 0 1 0 1 0 0",35,14,0.4
"279","1 0 0 1 1 0 0 1",33,15,0.454545454545455
"280","0 0 1 1 1 0 1 0",43,20,0.465116279069767
"285","0 1 0 0 0 1 0 1",45,12,0.266666666666667
"288","1 1 0 1 1 1 0 1",37,5,0.135135135135135
"289","1 1 0 1 1 0 1 0",37,19,0.513513513513513
"290","1 1 1 1 0 1 0 1",35,21,0.6
"292","1 0 0 1 0 0 1 1",36,20,0.555555555555556
"293","1 0 1 0 0 1 0 0",57,19,0.333333333333333
"297","1 1 0 1 0 0 0 0",47,12,0.25531914893617
"302","0 1 0 1 0 1 1 0",32,16,0.5
"303","0 1 0 1 1 0 1 0",42,19,0.452380952380952
"312","0 1 0 1 1 0 0 1",39,15,0.384615384615385
"314","0 0 0 0 0 1 1 0",24,-1,-0.0416666666666667
"317","1 0 1 0 1 0 1 1",37,14,0.378378378378378
"318","0 0 0 0 1 0 1 0",27,0,0
"319","0 1 1 1 0 1 1 1",37,10,0.27027027027027
"327","1 0 1 0 1 0 0 0",40,12,0.3
"334","0 1 0 1 1 0 1 1",48,13,0.270833333333333
"335","0 0 1 0 1 0 0 0",47,3,0.0638297872340425
"345","1 0 0 0 1 0 0 1",40,11,0.275
"347","1 1 1 0 1 1 0 1",39,11,0.282051282051282
"349","1 0 1 1 1 1 0 1",40,5,0.125
"353","1 0 0 0 1 1 1 0",37,7,0.189189189189189
"368","0 0 0 1 1 0 0 1",37,7,0.189189189189189
"370","1 1 1 0 1 1 0 0",35,22,0.628571428571429
"371","1 1 0 1 0 1 0 0",43,25,0.581395348837209
"374","0 1 1 0 1 1 1 1",34,3,0.0882352941176471
"376","0 1 1 1 0 1 0 0",34,15,0.441176470588235
"378","0 1 1 1 1 1 0 1",30,11,0.366666666666667
"386","1 1 1 1 1 0 0 1",54,27,0.5
"395","0 1 0 1 0 1 0 0",33,9,0.272727272727273
"402","0 0 1 1 1 0 1 1",42,16,0.380952380952381
"403","0 0 1 0 1 1 0 0",33,9,0.272727272727273
"411","0 0 0 1 1 0 1 1",41,9,0.219512195121951
"415","0 0 1 1 1 1 1 1",31,0,0
"416","1 0 1 0 1 1 1 1",41,1,0.024390243902439
"420","1 1 1 1 0 0 0 0",39,22,0.564102564102564
"422","1 1 0 0 1 0 1 0",37,11,0.297297297297297
"425","1 0 1 0 1 0 1 0",41,15,0.365853658536585
"434","0 1 1 0 1 0 0 0",40,20,0.5
"444","0 0 1 0 1 0 1 1",47,12,0.25531914893617
"451","0 1 1 0 0 0 0 1",29,8,0.275862068965517
"456","0 1 1 1 1 0 1 1",40,7,0.175
"467","1 1 0 0 0 1 0 0",37,11,0.297297297297297
"469","0 0 1 1 1 0 0 0",42,17,0.404761904761905
"471","1 1 1 0 0 0 0 0",39,12,0.307692307692308
"472","1 0 0 0 0 1 1 1",39,7,0.179487179487179
"476","0 1 0 1 0 0 1 0",34,9,0.264705882352941
"480","0 0 0 0 1 0 0 1",39,0,0
"481","0 0 0 0 0 0 0 0",37,0,0
"484","0 0 0 0 0 1 0 1",29,0,0
"488","0 0 1 0 0 1 0 1",36,3,0.0833333333333333
"491","1 1 0 1 0 1 1 1",28,8,0.285714285714286
"501","1 0 1 1 1 1 1 0",42,15,0.357142857142857
"510","0 0 1 1 1 1 0 1",34,13,0.382352941176471
"544","1 1 1 1 1 1 0 0",24,16,0.666666666666667
"547","0 1 1 0 0 1 1 1",37,10,0.27027027027027
"550","1 0 0 1 0 0 1 0",29,10,0.344827586206897
"566","1 0 1 1 0 1 0 0",45,23,0.511111111111111
"570","0 1 0 0 0 1 1 0",39,13,0.333333333333333
"583","0 0 1 1 0 1 1 1",40,11,0.275
"584","0 0 0 0 1 0 1 1",37,0,0
"598","1 1 0 1 1 1 1 0",34,6,0.176470588235294
"605","1 1 0 0 0 1 1 0",42,15,0.357142857142857
"623","1 1 1 0 0 1 1 1",27,4,0.148148148148148
"631","0 1 1 0 1 0 1 0",39,14,0.358974358974359
"632","1 0 0 0 0 0 1 1",38,8,0.210526315789474
"640","0 0 1 0 0 0 0 1",43,7,0.162790697674419
"644","1 0 1 1 1 0 0 0",39,21,0.538461538461538
"649","1 1 1 1 1 0 1 0",41,19,0.463414634146341
"656","1 0 1 0 0 1 0 1",33,16,0.484848484848485
"660","1 1 1 1 0 1 1 0",26,17,0.653846153846154
"669","0 0 1 0 1 1 1 1",34,3,0.0882352941176471
"673","0 1 0 1 1 1 0 1",40,10,0.25
"692","1 1 0 0 0 1 1 1",41,9,0.219512195121951
"702","1 1 0 1 0 0 1 0",41,21,0.51219512195122
"705","1 0 1 0 1 1 1 0",36,9,0.25
"728","1 1 0 0 1 0 0 1",37,17,0.459459459459459
"729","1 1 1 1 0 0 1 1",29,17,0.586206896551724
"747","0 1 1 1 0 0 0 1",29,20,0.689655172413793
"759","0 0 0 1 0 1 0 1",35,11,0.314285714285714
"769","0 1 0 0 1 0 0 1",36,6,0.166666666666667
"803","1 0 0 0 0 0 0 0",35,1,0.0285714285714286
"851","1 1 0 0 1 1 1 0",34,6,0.176470588235294
"895","0 1 1 0 1 0 0 1",36,15,0.416666666666667
"934","1 1 0 1 0 0 0 1",38,20,0.526315789473684
"969","1 1 1 1 0 0 1 0",28,18,0.642857142857143
"972","1 1 0 0 0 0 0 0",32,5,0.15625
"1053","0 1 1 1 0 0 0 0",39,14,0.358974358974359
"1109","0 1 1 0 1 0 1 1",30,6,0.2
"1167","1 0 1 0 1 0 0 1",27,12,0.444444444444444
"1206","0 1 0 0 1 0 1 1",32,10,0.3125
"1272","1 0 0 0 1 0 0 0",42,6,0.142857142857143
